exercise,have,resp_time,schedule,walk,location,subject_number
3,2,1366510126,2,3,"43.70835688,-72.28276783",u51
3,2,1366824372,1,3,"43.69653151,-72.28429978",u51
3,2,1368594047,1,3,"43.70664139,-72.28665635",u51
1,2,1367975937,2,1,Unknown,u51
3,2,1367645514,2,1,"43.64675373,-72.30988564",u51
1,2,1367798137,2,1,"42.03807185,-72.61743268",u51
1,2,1368767477,2,1,"43.70526533,-72.29056337",u51
1,2,1368921507,2,1,"43.70640288,-72.28703686",u51
1,2,1368921520,2,1,"43.70640288,-72.28703686",u51
1,2,1369684811,2,1,"43.69813972,-72.28405345",u51
1,2,1369609957,2,1,"44.8133656,-71.88147691",u51
1,2,1369609955,2,1,"43.6285899,-72.32269504",u51
1,2,1370030894,2,1,"43.70419424,-72.28832947",u51
1,2,1364956066,2,3,,u52
1,2,1365043091,2,1,,u52
1,2,1365274552,2,1,,u52
1,2,1365217850,2,1,,u52
1,2,1365174157,2,1,,u52
1,2,1365295735,2,2,,u52
1,2,1365382053,2,2,,u52
1,2,1366170857,2,3,,u52
1,2,1366253391,2,2,,u52
1,2,1367109071,2,1,"43.704733966666666,-72.28868481666666",u52
3,1,1364891724,null,2,,u53
1,2,1364954420,1,1,,u53
1,2,1365041919,1,2,,u53
1,2,1365128481,2,1,,u53
1,2,1365217507,2,1,,u53
1,2,1365217506,1,4,,u53
1,2,1365307004,2,1,,u53
1,2,1365441552,2,1,,u53
1,2,1365893681,2,1,,u53
1,2,1366251527,2,1,,u53
2,1,1366354616,null,2,"43.70258733,-72.28374163",u53
1,2,1366348761,2,2,"43.70552167,-72.2830477",u53
2,1,1367136460,2,3,"43.70603783,-72.28336171",u53
1,2,1366798371,2,2,"43.70542597,-72.28318778",u53
1,2,1367199777,2,2,"43.70545297,-72.28328993",u53
1,2,1367727590,2,2,"43.70537434,-72.28318822",u53
1,2,1367886878,2,3,"43.70751488,-72.28536136",u53
1,2,1368766117,2,1,"43.70558555,-72.28313672",u53
1,2,1368677192,2,2,"43.70542822,-72.28305246",u53
1,2,1369862008,2,2,"43.70565067,-72.28319189",u53
1,2,1369774020,2,2,"43.70533454,-72.28299423",u53
5,1,1365368698,2,5,,u54
1,2,1367289335,2,2,"43.70579093,-72.2916513",u54
2,1,1365381690,2,1,,u56
1,2,1366165059,1,2,,u56
1,2,1366783816,1,3,"43.71655956,-72.30945355",u56
5,1,1364875244,null,4,,u57
4,1,1364958602,null,3,,u57
4,1,1365045032,null,4,,u57
4,1,1365128267,null,4,,u57
5,1,1365379399,null,2,,u57
1,2,1365214084,1,3,,u57
5,1,1365293272,null,2,,u57
1,2,1365570067,2,3,,u57
4,1,1365742937,2,3,,u57
3,1,1365832983,2,3,,u57
4,1,1366085268,null,4,,u57
1,2,1366170703,1,3,,u57
4,1,1366344050,null,3,"43.70699504,-72.28855071",u57
1,2,1366509635,1,2,"43.81237747,-72.18886948",u57
1,2,1366607284,1,2,"43.70635188,-72.2869814",u57
1,2,1366783220,1,3,"43.70710105,-72.28877711",u57
1,2,1367021271,1,3,"43.70712028,-72.28906509",u57
2,1,1367107356,2,3,"43.70616713,-72.28704858",u57
1,2,1367201051,1,2,"43.70378547,-72.29036229",u57
4,1,1367294655,null,4,"43.70278597,-72.29093312",u57
4,1,1367885004,2,3,"43.70718012,-72.28882735",u57
1,2,1367971665,2,3,"43.70646031,-72.2900943",u57
1,2,1367726851,2,3,"43.70255288,-72.28983647",u57
1,2,1367640620,1,3,"43.70644383,-72.28693503",u57
1,2,1368763706,1,4,"43.70316512,-72.29094043",u57
1,2,1368590778,1,3,"43.70202283,-72.28836255",u57
3,1,1368849625,2,3,"43.70704942,-72.28856556",u57
1,2,1369944022,1,2,"43.70699711,-72.28881796",u57
1,2,1369513531,2,3,"43.70653778,-72.28714271",u57
1,2,1369773287,2,2,"43.70625996,-72.28688972",u57
4,1,1370300636,null,3,"43.70487483,-72.28075722",u57
3,1,1370214148,2,3,"43.66400198,-72.30431921",u57
4,1,1364875230,null,1,,u58
4,1,1365129555,null,3,,u58
3,2,1365385585,1,2,,u58
5,1,1365570150,2,3,,u58
5,1,1366164262,null,3,,u58
1,2,1366252980,2,3,,u58
1,2,1366350755,1,3,"43.70613747,-72.28341241",u58
5,1,1366518852,null,5,"43.7061514,-72.28332667",u58
1,2,1366595583,1,2,"43.70626921,-72.28337803",u58
1,2,1366604159,1,2,"43.70625615,-72.28323149",u58
5,1,1366789893,null,5,"43.7062471,-72.28322079",u58
5,1,1366697077,null,5,"43.70623236,-72.2830828",u58
5,1,1366779639,null,5,"43.7061263,-72.28350977",u58
3,1,1367115061,2,2,"43.70611602,-72.28317591",u58
1,2,1368416720,2,3,"43.70647378,-72.28294033",u58
5,1,1367730328,null,5,"43.70603328,-72.28336464",u58
3,1,1367885662,null,2,"43.70601095,-72.28337169",u58
1,2,1368237680,1,2,"43.70613712,-72.28339552",u58
3,1,1367640866,null,3,"43.70610769,-72.28320694",u58
1,2,1368764397,2,4,"43.70614076,-72.28333241",u58
1,2,1368681733,2,2,Unknown,u58
4,1,1368855680,null,2,"43.70579923,-72.28339861",u58
1,2,1369001756,null,1,"43.7061924,-72.28343594",u58
1,2,1369779236,1,4,"43.70616098,-72.28301592",u58
1,2,1369727125,1,4,"43.70616772,-72.28339555",u58
1,2,1369858349,2,3,"43.70618821,-72.28324607",u58
1,2,1369944166,2,1,"43.7079224,-72.28383182",u58
1,2,1370031816,2,1,"43.70630987,-72.28340771",u58
1,2,1370207042,2,1,"43.70627673,-72.28355468",u58
1,2,1370118401,2,4,"43.7064518,-72.28345807",u58
4,1,1364885629,1,2,,u59
1,2,1364877241,1,3,,u59
1,2,1364961435,1,4,,u59
1,2,1365042506,1,3,,u59
1,2,1365069397,1,4,,u59
1,2,1365127476,1,3,,u59
1,2,1365293603,1,3,,u59
1,2,1365322043,1,4,,u59
1,2,1365213693,1,3,,u59
1,2,1365379269,1,3,,u59
1,2,1365400886,1,3,,u59
1,2,1365494977,1,3,,u59
1,2,1365570321,1,1,,u59
1,2,1365738907,2,3,,u59
1,2,1365898176,1,2,,u59
1,2,1365969955,2,3,,u59
1,2,1366164881,1,3,,u59
1,2,1366250427,1,3,,u59
1,2,1366387262,1,4,"43.70400148909539,-72.28680146858096",u59
1,2,1366537445,2,4,"43.70409922208637,-72.28208472020924",u59
1,2,1366603241,1,3,"43.70345394127071,-72.29087851010263",u59
1,2,1366770531,1,3,Unknown,u59
1,2,1366783506,1,3,"43.702806774526834,-72.29073786176741",u59
1,2,1366951087,1,3,"43.705345443449914,-72.29143733158708",u59
1,2,1367107413,1,2,Unknown,u59
1,2,1367022063,1,3,"43.70476709213108,-72.2879319358617",u59
1,2,1367223371,1,4,"43.706689733080566,-72.28658253327012",u59
1,2,1367640083,1,3,"43.70586520526558,-72.29101865552366",u59
1,2,1368597906,1,4,Unknown,u59
1,2,1369082895,1,3,"43.70559212286025,-72.29091203771532",u59
1,2,1369201169,2,3,"43.70286435820162,-72.28974292986095",u59
1,2,1369514252,2,,,u59
1,2,1369771599,1,3,"43.70560381561518,-72.29110607877374",u59
1,2,1369858099,1,2,Unknown,u59
1,2,1370208616,1,3,"29.902878901921213,-90.02735710702837",u59
3,1,1370514126,null,2,"29.90286414977163,-90.02727756276727",u59
