exercise,have,resp_time,schedule,walk,location,subject_number
3,1,1367886430,null,1,"43.70651291,-72.28794506",u10
1,2,1368590264,1,1,"43.70324666,-72.29028792",u10
3,1,1365010008,2,2,,u12
1,2,1365127231,1,3,,u12
4,1,1365314957,null,2,,u12
1,2,1365219610,1,3,,u12
3,1,1365969867,2,2,,u12
1,2,1365891822,1,1,,u12
1,2,1365706555,1,1,,u12
1,2,1365788938,1,1,,u12
3,1,1370020046,2,2,"43.63764029,-72.2483575",u12
1,2,1364846665,1,1,,u14
1,2,1364875292,1,3,,u14
1,2,1365040942,2,5,,u14
1,2,1365130196,2,5,,u14
1,2,1365379801,2,5,,u14
1,2,1366255134,2,5,,u14
1,2,1366344000,2,5,"43.7054501,-72.28744904",u14
1,2,1367287206,2,1,"43.70677996,-72.28732886",u14
4,1,1365395364,2,2,,u15
4,1,1365395366,2,1,,u15
5,1,1365570017,2,2,,u15
5,1,1366167785,2,2,,u15
5,1,1366316143,2,2,,u15
1,2,1364959192,1,2,,u16
3,1,1364839370,null,3,,u16
3,1,1365026477,null,3,,u16
3,1,1365043330,null,3,,u16
1,2,1365129159,2,3,,u16
3,1,1365450025,null,3,,u16
3,1,1365204841,null,3,,u16
1,2,1365299482,2,2,,u16
1,2,1365379447,2,2,,u16
5,2,1365561083,2,4,,u16
1,2,1365616214,1,3,,u16
1,2,1365722104,2,3,,u16
1,2,1366079971,null,2,,u16
5,1,1366164520,null,5,,u16
1,2,1366317580,2,3,3,u16
3,1,1366252425,null,4,,u16
1,2,1366603545,1,2,"43.70388114,-72.29106228",u16
3,1,1366476436,null,3,"43.70381863,-72.2910568",u16
1,2,1366576777,1,2,"43.70379379,-72.29137476",u16
5,1,1366784763,1,5,"43.70374487,-72.29078214",u16
1,2,1366956881,2,2,"43.70381392,-72.29084126",u16
1,2,1367021444,1,2,"43.70383449,-72.29122954",u16
1,2,1367109764,2,2,"43.70376923,-72.29082966",u16
1,2,1367200878,1,2,"43.70378913,-72.29087644",u16
1,2,1367287223,2,2,"43.70688467,-72.28732802",u16
1,1,1368590694,2,2,"43.70391463,-72.28988644",u16
3,1,1368678803,null,2,"43.70374249,-72.29050587",u16
1,2,1368767182,2,2,Unknown,u16
1,2,1367887827,1,2,"43.70695327,-72.28825554",u16
1,2,1368386122,2,3,Unknown,u16
4,1,1368038306,null,3,"43.70444528,-72.29050901",u16
1,2,1368471951,2,3,"43.70339979,-72.28817654",u16
3,1,1368818751,null,2,Unknown,u16
1,2,1369087318,2,2,Unknown,u16
1,2,1369513051,2,2,"43.70392831,-72.29052029",u16
1,2,1369603356,2,2,"43.70395666,-72.29093617",u16
1,2,1369689677,2,2,"43.70390249,-72.29064079",u16
1,2,1369866212,2,1,"43.68753666,-72.29250241",u16
1,2,1365010862,1,3,,u17
1,2,1365486864,1,3,,u17
1,2,1365486865,1,3,,u17
1,2,1365486870,1,3,,u17
1,2,1365486872,1,3,,u17
1,2,1365486874,1,3,,u17
1,2,1365881553,1,4,,u17
3,1,1366048133,2,3,,u17
1,2,1366165883,1,3,,u17
1,2,1366156278,1,2,,u17
1,2,1366338982,1,3,"43.70237732,-72.28914013",u17
1,2,1366487176,1,3,Unknown,u17
2,1,1366539399,2,3,Unknown,u17
2,1,1366582208,2,3,Unknown,u17
1,2,1367023803,1,3,"43.70685225,-72.28683238",u17
1,2,1367209965,1,3,Unknown,u17
1,2,1367108589,1,2,"43.70366438,-72.2901632",u17
1,2,1367293531,1,2,Unknown,u17
1,2,1367973984,1,2,"43.70177529,-72.28874021",u17
1,2,1369605975,1,1,Unknown,u17
1,2,1369975066,1,1,"43.70583041,-72.28925846",u17
4,1,1365047838,2,3,,u18
3,1,1364957841,null,3,,u18
1,2,1365394283,null,1,,u18
4,1,1365185604,2,2,,u18
1,2,1365394291,null,2,,u18
3,1,1365480514,2,3,,u18
3,1,1365551678,2,2,,u18
3,1,1365734637,2,3,,u18
1,2,1366305202,1,2,,u18
3,1,1366341923,2,3,"43.70264346,-72.28707",u18
5,1,1364875937,null,2,,u19
1,2,1364954469,1,3,,u19
5,1,1365063237,2,3,,u19
1,2,1365126229,1,3,,u19
1,2,1365128497,1,1,,u19
5,1,1365218699,null,3,,u19
1,2,1365409969,1,2,,u19
1,2,1365570249,2,3,,u19
5,1,1365476783,null,2,,u19
3,1,1365750884,2,2,,u19
2,1,1365554764,null,3,,u19
5,1,1365670908,null,3,,u19
4,1,1365817894,null,3,,u19
5,1,1366082321,null,2,,u19
1,2,1366165506,1,3,,u19
5,1,1366254359,2,3,,u19
2,1,1366345170,null,3,"43.70576649,-72.28783793",u19
5,1,1366531990,null,2,"43.7067391,-72.28556913",u19
5,1,1366425470,null,2,"43.70661361,-72.2859456",u19
5,1,1367033075,2,2,"43.70708146,-72.2859818",u19
1,2,1366783210,1,3,"43.70453889,-72.28787543",u19
4,1,1366678167,null,3,"43.70676468,-72.28542565",u19
5,1,1367192097,2,2,"43.70670747,-72.28550624",u19
5,1,1367291068,2,2,"43.70729551,-72.28748503",u19
3,1,1368248797,2,2,"43.70700456,-72.28598088",u19
1,2,1367885085,1,2,"43.70727285,-72.28621797",u19
1,2,1367606970,1,3,"43.70690988,-72.28699822",u19
4,1,1368501403,2,2,"43.70670191,-72.28568105",u19
1,2,1368763332,1,2,"43.70709415,-72.28737229",u19
5,1,1367740419,2,3,"43.70691192,-72.28587513",u19
5,1,1367816955,2,3,"43.70706308,-72.28596174",u19
1,2,1367971550,1,3,"43.70733979,-72.28607989",u19
4,1,1367635657,2,2,"43.70705362,-72.28594706",u19
1,2,1368594398,1,2,"43.70120165,-72.28667414",u19
1,2,1368916123,null,2,"43.70680509,-72.28557325",u19
1,2,1368850279,1,2,"43.70161344,-72.28714129",u19
4,1,1369116101,2,2,"43.70708213,-72.2859049",u19
1,2,1369210196,1,2,"43.7040776,-72.29042456",u19
2,1,1369296127,null,2,"43.7066368,-72.2855942",u19
1,2,1369383293,1,2,Unknown,u19
1,2,1369512297,1,1,"43.70706719,-72.28602375",u19
1,2,1369561943,1,2,"43.70709334,-72.28524117",u19
1,2,1369852451,1,2,"43.70689977,-72.28714289",u19
1,2,1369984333,1,2,"43.70696465,-72.28583899",u19
1,2,1364875222,2,3,,u20
3,2,1364955670,2,3,,u20
4,2,1365385507,2,2,,u20
1,2,1364877836,2,1,,u22
3,1,1364956140,2,1,,u22
1,2,1365040889,2,1,,u22
1,2,1365214552,2,1,,u22
3,1,1365113670,2,1,,u22
3,1,1365127225,2,1,,u22
1,2,1365295894,2,1,,u22
3,1,1365384971,2,1,,u22
1,2,1365460159,2,1,,u22
3,1,1366000498,2,1,,u22
3,1,1365551798,2,1,,u22
3,1,1365728170,2,1,,u22
1,2,1365638857,2,1,,u22
3,1,1366165456,2,1,,u22
3,1,1366344049,2,1,"43.70426635,-72.29067159",u22
3,1,1366511491,2,1,"43.70290451,-72.29009473",u22
3,1,1366790350,2,1,"43.70440331,-72.29084007",u22
1,2,1367020814,2,1,"42.34645192,-71.06042379",u22
3,1,1367971349,2,1,"43.70402702,-72.2905121",u22
1,2,1369685157,1,1,Unknown,u22
1,2,1364862635,2,1,,u23
1,null,1364862639,null,2,,u23
1,2,1364876129,2,1,,u23
1,2,1365010509,1,2,,u23
1,2,1364949823,2,1,,u23
1,2,1365047673,2,1,,u23
1,2,1365127272,2,1,,u23
1,2,1365210635,2,1,,u23
1,2,1365308158,2,1,,u23
3,1,1365389627,2,2,,u23
2,2,1365379260,2,3,,u23
1,2,1365570034,2,1,,u23
3,1,1365919230,2,2,,u23
1,null,1366164942,null,1,,u23
1,null,1366349587,null,1,"43.70547625,-72.28332242",u23
1,null,1366603230,null,1,"43.70531979,-72.28326262",u23
1,null,1366783176,null,1,"43.70550562,-72.28313413",u23
1,2,1364843192,1,1,,u24
1,2,1365024917,1,3,,u24
1,2,1365133383,1,2,,u24
4,1,1365372387,null,3,,u24
2,1,1365754458,null,2,,u24
3,1,1365785708,null,2,,u24
3,1,1365886703,null,2,,u24
1,2,1365980483,2,2,,u24
1,2,1366250443,1,2,,u24
4,1,1364869004,null,3,,u25
5,1,1365042999,null,2,,u25
5,1,1365133336,null,2,,u25
5,1,1365459230,null,2,,u25
1,2,1366603733,1,2,"43.70682898,-72.2876686",u25
1,2,1364875581,1,3,,u27
1,2,1364955485,1,2,,u27
1,2,1365043877,2,2,,u27
1,2,1366257583,1,1,,u27
1,2,1366021191,2,2,,u27
1,2,1366344409,1,1,"43.70397962,-72.28593035",u27
1,2,1366510775,1,1,"43.70387421,-72.28565294",u27
1,2,1366604384,1,1,"43.70356921,-72.28639414",u27
1,2,1367112102,1,1,"43.70552478,-72.28974476",u27
1,2,1367201363,1,1,"43.70401485,-72.28565495",u27
1,2,1367642694,1,1,"43.70317223,-72.28692052",u27
1,2,1365015404,1,3,,u30
1,2,1365285721,1,3,,u30
1,2,1365285717,1,3,,u30
3,1,1365621859,null,2,,u30
1,2,1366167746,1,2,,u30
3,1,1367031588,null,3,"43.71728912,-72.27389189",u30
2,2,1365040876,1,3,,u31
4,1,1364867716,2,2,,u31
2,2,1365127222,2,2,,u31
2,2,1365213711,2,3,,u31
4,1,1365288317,2,4,,u31
3,2,1366164414,2,2,,u31
5,1,1366079491,2,5,,u31
2,2,1366250748,1,2,,u31
1,2,1364955553,2,2,,u32
1,2,1364876210,2,1,,u32
1,2,1365045858,2,2,,u32
1,2,1365135172,2,2,,u32
1,2,1365380036,2,2,,u32
2,1,1366012274,null,2,,u32
1,2,1365580604,2,2,,u32
1,2,1365788529,2,2,,u32
1,2,1365838990,2,2,,u32
1,2,1366187223,2,2,,u32
2,1,1366480470,null,2,"43.70587544,-72.2911665",u32
3,1,1366512627,null,2,"43.70587544,-72.2911665",u32
1,2,1366608591,2,2,"43.7031993,-72.2904444",u32
3,1,1366690860,null,2,"43.7031993,-72.2904444",u32
1,2,1367202088,2,2,"43.70301955,-72.29020739",u32
1,2,1366962128,2,2,"43.70608389,-72.29104393",u32
1,2,1367202111,2,2,"43.70301955,-72.29020739",u32
1,2,1367979379,2,2,"43.70690225,-72.28707856",u32
1,2,1367830340,2,2,"43.70389513,-72.29041685",u32
1,2,1368679726,2,2,"43.70333692,-72.29043048",u32
1,2,1369002681,2,3,Unknown,u32
1,2,1369002696,2,3,Unknown,u32
1,2,1369862978,2,2,"43.70602974,-72.28961179",u32
2,1,1369772008,null,2,"43.70450738,-72.29025958",u32
3,1,1369954064,2,2,"43.70605254,-72.28941754",u32
1,2,1364954927,2,1,,u33
1,2,1364875493,2,2,,u33
1,2,1365054497,2,3,,u33
1,2,1365128633,2,2,,u33
1,2,1365379210,2,1,,u33
1,2,1365212801,2,3,,u33
1,2,1365292838,1,2,,u33
1,2,1365487578,2,3,,u33
1,2,1365570428,1,2,,u33
1,2,1366264224,2,3,,u33
1,2,1365745906,2,3,,u33
1,2,1365659988,2,3,,u33
1,2,1366030304,2,1,,u33
1,2,1365824888,2,3,,u33
1,2,1365913902,2,1,,u33
1,2,1366164007,2,1,,u33
1,2,1366113134,1,3,,u33
1,2,1366347044,2,3,"43.70746347,-72.28509434",u33
1,2,1366451007,1,3,"43.70375648,-72.29575915",u33
1,2,1366512051,2,1,"43.70378828,-72.29600636",u33
1,2,1366603229,1,3,"43.70364552,-72.29593922",u33
1,2,1366797905,1,3,"43.70371045,-72.29605661",u33
1,2,1367021548,1,4,"43.70094652,-72.28957887",u33
1,2,1367288479,2,2,"43.70489887,-72.29225887",u33
2,1,1367972495,null,3,"43.70358127,-72.29612226",u33
1,2,1367648471,2,2,"43.70583433,-72.28880318",u33
1,2,1367888512,1,3,"43.70353749,-72.29596044",u33
1,2,1367886104,1,3,"43.70353749,-72.29596044",u33
1,2,1368590362,1,1,"43.70368448,-72.29611307",u33
1,2,1367726425,2,2,"43.70583433,-72.28880318",u33
5,1,1368484089,2,5,"43.70416591,-72.29582511",u33
1,2,1368915145,2,2,"43.70340016,-72.29598785",u33
1,2,1369880556,2,3,Unknown,u33
1,2,1370033788,2,1,"43.70369562,-72.29580718",u33
1,2,1365045915,2,3,,u34
3,2,1365217077,2,4,,u34
1,2,1367108858,2,3,Unknown,u34
1,2,1364878047,1,2,,u35
1,2,1365043850,1,2,,u35
1,2,1365400406,2,2,,u35
1,2,1365133479,1,3,,u35
1,2,1365400404,2,4,,u35
1,2,1365400397,2,2,,u35
1,2,1365400395,2,4,,u35
1,2,1366583001,2,4,"43.70554288,-72.28320827",u35
1,2,1367089475,2,2,"43.70553437,-72.28348632",u35
5,1,1367884995,2,5,"43.70696392,-72.28734398",u35
2,2,1364955494,1,2,,u36
3,2,1364885487,1,2,,u36
2,2,1365041637,1,2,,u36
2,2,1365213894,1,2,,u36
2,2,1365127416,1,2,,u36
2,2,1365295374,1,2,,u36
3,2,1365382291,1,3,,u36
3,2,1366067879,1,3,,u36
3,2,1365572095,1,3,,u36
3,2,1366251544,null,3,,u36
2,2,1365906751,1,2,,u36
2,2,1365825181,1,2,,u36
3,2,1366164041,1,3,,u36
3,1,1367209877,2,3,"43.71658745,-72.27561069",u36
2,2,1367107909,null,2,"43.70674054,-72.28704712",u36
2,2,1367022466,1,2,"43.70654909,-72.28710478",u36
2,2,1367288972,1,2,"43.70666412,-72.28708106",u36
3,1,1367383062,2,3,"43.7064439,-72.28686698",u36
2,2,1367890771,1,2,"43.70671604,-72.28706727",u36
2,1,1368763338,2,2,"43.65178229,-72.30992795",u36
2,2,1368683203,1,2,"43.70660881,-72.28706869",u36
2,2,1368851087,2,2,"43.65193359,-72.30987428",u36
5,1,1369603236,2,5,"43.71412072,-72.28619364",u36
2,2,1369694613,1,2,"43.70669933,-72.28662273",u36
1,2,1365567884,2,1,,u39
1,2,1365567886,2,1,,u39
1,2,1365565545,2,1,,u39
1,2,1365565548,2,1,,u39
1,2,1365833108,2,1,,u39
1,2,1366180442,2,1,,u39
1,1,1366086071,1,1,,u39
1,2,1366829559,2,1,"43.65167079,-72.31001806",u39
1,2,1366921935,2,1,"43.70691563,-72.28615388",u39
3,1,1365041009,2,3,,u41
1,2,1364956868,2,3,,u42
1,2,1365041407,2,2,,u42
2,2,1365217071,2,2,,u42
1,2,1366603943,2,2,"43.65853317,-72.24871692",u42
1,2,1367289158,2,1,"43.69934723,-72.29020758",u42
1,2,1367109256,2,2,Unknown,u42
1,2,1367200816,2,1,"43.65870035,-72.24874161",u42
1,2,1367972226,2,1,Unknown,u42
1,2,1368474028,2,5,"43.66723918,-72.25923325",u42
1,2,1368474041,2,5,"43.66723918,-72.25923325",u42
1,2,1369857610,2,1,"43.67176007,-72.26386586",u42
1,2,1364875634,2,3,,u43
1,2,1365040989,2,2,,u43
1,2,1364866639,2,3,,u43
1,2,1364956170,2,2,,u43
1,2,1365036004,2,2,,u43
1,2,1365018455,2,3,,u43
1,2,1365127387,2,2,,u43
1,2,1365117058,2,2,,u43
1,2,1365194965,2,3,,u43
1,2,1365222199,2,3,,u43
1,2,1365463694,2,3,,u43
1,2,1365295116,2,3,,u43
1,2,1365385557,2,3,,u43
1,2,1365579647,2,3,,u43
1,2,1366241061,2,3,,u43
1,2,1365659321,2,3,,u43
1,2,1365734991,2,3,,u43
1,2,1365992074,2,3,,u43
1,2,1365830631,2,2,,u43
1,2,1366082679,2,2,,u43
1,2,1366166327,2,2,,u43
1,2,1366250549,2,3,,u43
1,2,1366344257,2,3,"43.70568693,-72.29135536",u43
1,2,1367031332,2,4,"43.70566341,-72.29149906",u43
1,2,1366597114,2,3,"44.24401313,-69.80753861",u43
1,2,1366605826,2,3,Unknown,u43
1,2,1366785075,2,3,"43.70565801,-72.2912266",u43
1,2,1367288044,2,3,"43.705504,-72.29155831",u43
1,2,1367107680,2,3,"43.70217417,-72.28803253",u43
1,2,1367213694,2,3,"42.74186846,-71.20821987",u43
1,2,1367640026,2,3,"43.70551925,-72.2913828",u43
1,2,1368916047,2,3,"43.70293815,-72.29076426",u43
1,2,1369001508,2,3,Unknown,u43
1,2,1369512024,2,3,"43.70564182,-72.29120936",u43
3,2,1364940845,1,3,,u44
1,2,1364955053,2,2,,u44
1,2,1365041486,2,3,,u44
1,2,1365024251,2,3,,u44
1,2,1365118183,2,2,,u44
1,2,1365128464,2,2,,u44
1,2,1365180341,2,2,,u44
1,2,1365294070,2,3,,u44
