,User,Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
321,u19,,,2013-04-26 17:49:38,1.0,3.0,1.0,4.0,"43.70693121,-72.28557612"
322,u19,,,2013-04-26 05:53:55,1.0,3.0,1.0,4.0,"43.70252387,-72.28969879"
323,u19,,,2013-04-27 17:38:41,4.0,1.0,1.0,3.0,"43.70709568,-72.28590487"
324,u19,,,2013-05-01 09:28:30,1.0,3.0,1.0,4.0,"43.70101204,-72.28677708"
325,u19,,,2013-05-11 05:13:24,1.0,3.0,1.0,4.0,"43.70700456,-72.28598088"
326,u19,,,2013-05-06 07:30:05,5.0,1.0,1.0,2.0,"43.70706627,-72.28596306"
327,u19,,,2013-05-03 18:49:14,1.0,4.0,1.0,3.0,"43.70690988,-72.28699822"
328,u19,,,2013-05-05 07:51:50,2.0,1.0,1.0,4.0,"43.70691192,-72.28587513"
329,u19,,,2013-05-13 05:30:01,2.0,1.0,1.0,5.0,"43.70743065,-72.286434"
330,u19,,,2013-05-15 22:21:57,1.0,2.0,1.0,4.0,"43.70246446,-72.28774351"
331,u19,,,2013-05-10 21:22:05,1.0,3.0,1.0,4.0,"43.70680418,-72.28601166"
332,u19,,,2013-05-13 20:26:52,1.0,1.0,1.0,5.0,"43.70670191,-72.28568105"
333,u19,,,2013-05-12 09:04:57,1.0,3.0,1.0,4.0,"43.70701211,-72.28611727"
334,u19,,,2013-05-17 22:17:19,1.0,2.0,1.0,5.0,"43.70161344,-72.28714129"
335,u19,,,2013-05-19 21:53:54,3.0,3.0,1.0,2.0,"43.70669977,-72.28545979"
336,u19,,,2013-05-20 08:27:08,1.0,4.0,1.0,3.0,"43.70754131,-72.28597491"
337,u19,,,2013-05-21 09:10:28,2.0,3.0,1.0,3.0,"43.70712264,-72.28701115"
338,u19,,,2013-05-22 08:08:47,1.0,2.0,1.0,4.0,"43.7040776,-72.29042456"
339,u19,,,2013-05-23 07:43:59,1.0,3.0,1.0,4.0,"43.70693856,-72.28579217"
340,u19,,,2013-05-24 08:13:57,1.0,3.0,1.0,4.0,Unknown
341,u19,,,2013-05-31 07:10:42,4.0,3.0,1.0,1.0,"43.70696465,-72.28583899"
342,u19,,,2013-05-26 09:50:42,1.0,4.0,1.0,3.0,"43.70709334,-72.28524117"
343,u19,,,2013-06-01 07:06:04,4.0,2.0,1.0,1.0,"43.70717259,-72.2867125"
344,u19,,,2013-05-29 18:32:45,1.0,5.0,1.0,1.0,"43.70689977,-72.28714289"
347,u20,,,2013-04-12 06:39:43,3.0,1.0,3.0,4.0,
348,u20,,,2013-04-14 06:45:23,1.0,2.0,5.0,4.0,
358,u22,,,2013-04-08 05:12:50,1.0,5.0,1.0,1.0,
359,u22,,,2013-04-09 08:28:25,1.0,5.0,1.0,1.0,
360,u22,,,2013-04-11 07:54:13,1.0,1.0,1.0,5.0,
361,u22,,,2013-04-12 07:16:12,3.0,1.0,1.0,4.0,
362,u22,,,2013-04-15 06:42:21,1.0,3.0,1.0,3.0,
363,u22,,,2013-04-13 06:34:47,1.0,3.0,1.0,3.0,
364,u22,,,2013-04-14 21:44:31,3.0,1.0,1.0,3.0,
365,u22,,,2013-04-22 21:14:33,1.0,1.0,1.0,1.0,"43.70418092,-72.29045018"
