User,number_of_people,avg_stress_level,amount_of_workouts,avg_workout_per_day,avg_workout_time,avg_walk_time,avg_sleep_hours,avg_sleep_rating,avg_happy_rating,avg_sad_rating,happy_percentage,sad_percentage,stressed_percentage,avg_alone_percentage,avg_together_percentage,avg_working_percentage,avg_relaxing_percentage
u00,20.204545454545453,3.189189189189189,20.0,0.3076923076923077,23.10810810810811,14.72972972972973,6.036363636363636,1.981818181818182,1.5,1.5,57.14285714285714,42.857142857142854,,43.90200351322587,56.09799648677413,67.64062776873526,32.35937223126475
u01,23.666666666666668,2.875,7.0,0.1076923076923077,0.0,32.142857142857146,6.111111111111111,1.5925925925925926,2.0,1.0,100.0,,,38.69484302513755,61.30515697486245,30.764735498255835,69.23526450174417
u02,14.6,2.933333333333333,6.0,0.09230769230769231,22.5,27.5,6.461538461538462,2.0,0.0,1.0,28.57142857142857,42.857142857142854,28.57142857142857,37.225259989956406,62.774740010043594,65.5631227586854,34.436877241314605
u03,4.9,2.5172413793103448,1.0,0.015384615384615385,13.125,18.75,6.535714285714286,1.7142857142857142,0.0,1.0,,,100.0,67.40929965031445,32.590700349685555,49.95004995004995,50.04995004995005
u04,16.88888888888889,3.7674418604651163,,,78.33333333333333,32.5,5.735294117647059,2.0588235294117645,1.75,1.5,25.0,25.0,50.0,54.82900378818019,45.17099621181981,35.513113599973,64.486886400027
u05,60.0,2.125,,,,,6.25,1.5,,,,,,,,,
u07,18.75,2.2264150943396226,8.0,0.12307692307692308,37.30769230769231,24.23076923076923,6.020833333333333,2.0,1.0,2.0,,,,66.08346668151431,33.91653331848569,58.85379132536395,41.14620867463605
u08,13.69767441860465,3.6666666666666665,25.0,0.38461538461538464,12.903225806451612,29.032258064516128,6.128205128205129,1.9024390243902438,0.6666666666666666,1.7777777777777777,6.666666666666667,40.0,53.333333333333336,64.55804132621729,35.44195867378271,78.11461547381366,21.885384526186346
u09,15.0,2.3333333333333335,,,,,6.5,1.6666666666666667,,,,,,,,,
u10,17.933333333333334,2.6792452830188678,14.0,0.2153846153846154,16.5,20.25,6.3936170212765955,2.106382978723404,0.7777777777777778,1.0,19.047619047619047,42.857142857142854,38.095238095238095,79.84408751137921,20.1559124886208,73.9911929938884,26.00880700611159
u12,9.722222222222221,3.2333333333333334,5.0,0.07692307692307693,23.333333333333332,16.666666666666668,6.423076923076923,1.6153846153846154,1.0,0.0,,42.857142857142854,57.14285714285714,83.05742262052942,16.94257737947058,89.45277145773872,10.54722854226128
u13,,,,,,,6.5,1.0,,,,,,,,,
u14,19.653846153846153,3.945945945945946,8.0,0.12307692307692308,0.0,74.375,5.983333333333333,1.6666666666666667,2.0,0.0,,,100.0,34.65240970392575,65.34759029607426,57.682085846642806,42.317914153357194
u15,48.0,3.1,,,96.0,12.0,6.157894736842105,1.894736842105263,,,,,,17.243614005462693,82.7563859945373,34.796216441786065,65.20378355821394
u16,20.9,3.7196261682242993,25.0,0.38461538461538464,21.31578947368421,33.026315789473685,6.423076923076923,1.9384615384615385,1.9523809523809523,1.4285714285714286,4.938271604938271,48.148148148148145,46.913580246913575,52.762502715143484,47.237497284856516,66.1942621101057,33.805737889894296
u17,12.741935483870968,4.857142857142857,18.0,0.27692307692307694,3.5714285714285716,36.42857142857143,4.935897435897436,2.675,0.4,3.2,,25.0,75.0,88.51341240355919,11.486587596440819,84.38455577923976,15.615444220760239
u18,7.7272727272727275,3.375,3.0,0.046153846153846156,37.5,28.5,5.580645161290323,1.7575757575757576,1.0,2.0,28.57142857142857,42.857142857142854,28.57142857142857,48.09431615663358,51.90568384336642,50.209727522288375,49.790272477711625
u19,30.82051282051282,3.4725274725274726,20.0,0.3076923076923077,46.59090909090909,25.90909090909091,6.4,1.6545454545454545,1.75,0.875,26.190476190476193,35.714285714285715,38.095238095238095,55.08549527077405,44.914504729225946,76.37361491837511,23.62638508162489
u20,10.857142857142858,2.9,1.0,0.015384615384615385,40.0,35.0,5.708333333333333,1.8333333333333333,,,,,,78.46024904214559,21.539750957854405,46.88697318007662,53.11302681992337
u22,11.620689655172415,2.6,8.0,0.12307692307692308,27.0,0.0,6.65,1.55,1.0,1.0,71.42857142857143,,28.57142857142857,47.14674567615744,52.85325432384256,72.65186325922383,27.348136740776166
u23,2.625,2.909090909090909,14.0,0.2153846153846154,6.176470588235294,6.176470588235294,6.369565217391305,1.608695652173913,1.0,1.0,100.0,,,64.303683737646,35.696316262353996,60.73225516621743,39.26774483378257
u24,39.6,3.4871794871794872,5.0,0.07692307692307693,20.0,20.0,6.3478260869565215,2.3043478260869565,1.5,1.0,25.0,75.0,,40.79353437400454,59.20646562599546,27.960345862696677,72.03965413730332
u25,20.214285714285715,2.85,1.0,0.015384615384615385,81.0,21.0,6.2,2.066666666666667,,,,,,73.52578855743413,26.474211442565874,74.33610693104364,25.663893068956362
u27,8.75,3.52,11.0,0.16923076923076924,0.0,8.181818181818182,5.233333333333333,2.625,0.6666666666666666,0.6666666666666666,25.0,75.0,,61.76016881772792,38.23983118227208,55.19342022888437,44.80657977111563
u30,36.529411764705884,2.466666666666667,4.0,0.06153846153846154,15.0,35.0,6.0588235294117645,1.5294117647058822,3.0,0.0,,,,49.87388400694259,50.12611599305741,63.4657044783627,36.5342955216373
u31,5.444444444444445,2.6666666666666665,,,45.625,41.875,5.2272727272727275,2.5454545454545454,,,,,,63.098833794781434,36.90116620521856,63.098833794781434,36.90116620521856
u32,47.142857142857146,2.5,19.0,0.2923076923076923,7.2,16.8,6.553191489361702,2.3404255319148937,2.3333333333333335,0.6666666666666666,40.0,60.0,,28.851283270163,71.14871672983699,53.955334314013875,46.044665685986125
u33,38.40625,3.413793103448276,32.0,0.49230769230769234,3.676470588235294,30.147058823529413,6.051282051282051,2.292682926829268,1.1428571428571428,2.857142857142857,6.451612903225806,29.03225806451613,64.51612903225806,60.253835977163284,39.746164022836716,50.36396447139373,49.63603552860627
u34,27.0,2.6666666666666665,2.0,0.03076923076923077,15.0,55.0,5.928571428571429,1.2857142857142858,,,100.0,,,51.59235668789809,48.40764331210191,35.6687898089172,64.3312101910828
u35,10.136363636363637,2.717948717948718,9.0,0.13846153846153847,11.0,45.5,5.98,1.44,1.0,0.0,22.727272727272727,40.909090909090914,36.36363636363637,49.72603885647364,50.27396114352637,67.28987598552816,32.71012401447184
u36,8.21875,3.267857142857143,,,28.958333333333332,27.708333333333332,6.28125,1.96875,0.5,0.25,18.51851851851852,,81.48148148148148,48.917748917748916,51.082251082251084,66.69686902245041,33.30313097754958
u39,2.0,3.0,9.0,0.13846153846153847,0.0,0.0,6.4,1.0,,,,,,58.1981981981982,41.8018018018018,52.252252252252255,47.747747747747745
u41,27.714285714285715,4.0,,,45.0,45.0,6.285714285714286,1.9285714285714286,,,,60.0,40.0,56.227019889810585,43.772980110189415,70.000495000495,29.999504999505
